field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
13 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
14 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
15 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
16 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
17 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
18 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
19 , 1.2360349e-05 , 1.8060074e-05, 1.3047892e-08 , 1.2347301e-05 , 1.804582e-05,, 1.4254383e-08 , -1.4812713e-07 , 1.5136148e-05 , 1.5284275e-05 
20 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
21 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
22 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
23 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
24 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
25 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
26 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
27 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
28 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
29 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
30 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
31 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
32 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
33 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
34 , 1.2189778e-05 , 1.8049149e-05, 2.9641567e-08 , 1.2160136e-05 , 1.8046003e-05,, 3.145613e-09 , -8.5725635e-07 , 1.4690835e-05 , 1.5548091e-05 
